Product_image,Product_Name,Product_Colour,Product_price,Product_off,Product_Offers,Product_Secure
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/c/c/h/11-multi-purpose-bag-with-usb-charging-port-laptop-office-original-imahfjh8nwh97xtg.jpeg?q=70,Large 34 L Backpack Multi-purpose Bag with USB charging...,Black,? 448,87% off,,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/t/u/q/-original-imahfsk9hsxze7z3.jpeg?q=70,Large 40 L Backpack 40L Casual Laptop Backpack School/C...,Grey,? 285,78% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/e/k/s/-original-imahfskhhajb9hyz.jpeg?q=70,Medium 29 L Laptop Backpack Staten Passenger Workpack |...,Grey,"? 1,299",87% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/b/t/f/12-backbenchers-white-edge-stylish-backbenchers-school-bag-boys-original-imahfw2hhcrxyzgp.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers White Edge Sty...,Black,? 489,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/1/e/x/12-backbenchers-hacker-warrior-edition-boys-stylish-school-original-imahfw2hjmczxn9a.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers Hacker Warrior...,Black,? 498,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/e/m/b/8-backpack-school-bag-college-bag-office-casual-bag-waterproof-original-imah5vwj9bbfrrz7.jpeg?q=70,Large 35 L Backpack Backpack/School Bag/College Bag Off...,Green,? 292,88% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/f/b/i/12-backbenchers-white-xtreme-school-bag-boys-stylish-backpack-12-original-imahfw2h34xfhcct.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers White Xtreme S...,Black,? 485,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/f/0/w/12-backbenchers-hacker-flame-edition-boys-stylish-school-original-imahfw2ggzgnuhht.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers Hacker Flame E...,Black,? 498,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/g/a/a/25-with-rain-cover-and-reflective-strip-32-p-041-laptop-backpack-original-imahgy5gnahserd2.jpeg?q=70,Large 35 L Laptop Backpack with rain cover and reflecti...,"Blue, Grey",? 544,81% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/l/w/z/-original-imahfskhtpgxrddw.jpeg?q=70,Large 45 L Laptop Backpack Casual unisex Backpack schoo...,Green,? 279,86% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/1/u/o/-original-imahfskgmf5zwnuc.jpeg?q=70,Medium 29 L Laptop Backpack Staten Passenger Workpack |...,Green,"? 1,419",85% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/t/m/o/-original-imahfskhqkhnuyp2.jpeg?q=70,Large 35 L Laptop Backpack Bag for Men Women | Office/C...,Black,? 285,78% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/l/m/f/-original-imahfsk9qmkngvuk.jpeg?q=70,"Medium 30 L Laptop Backpack Bagpack school college, tra...",Black,? 264,86% off,Big Billion Days Price,
